Provider,Category,Function/File,Endpoint,Purpose,Source
CoinGecko,Direct Fetch,MobileHeader.tsx,/api/v3/simple/price?ids=stellar,Header XLM price display,component
Stellar Expert,Price Data,getXLMPrice,/explorer/public/xlm-price,Current XLM price,stellar.ts
Stellar Expert,Assets,getMarketAssets,/explorer/public/asset?sort=rating,Top 200 assets by rating,stellar.ts
Stellar Expert,Assets,getAssetDetails,/explorer/public/asset/{assetId},Detailed asset information + price,stellar.ts
Stellar Expert,Network Stats,fetchStellarExpertStats,/explorer/public/network-stats,Blockchain network statistics,stellar.ts
Stellar Expert,Direct Fetch,AssetChart.tsx,/explorer/public/xlm-price or /asset/{id}/price,Asset price chart data,component
StellarChain.io,Assets,getAssetDetails,/v1/assets/{id}/show,Asset details,stellar.ts
StellarChain.io,Accounts,getXLMHolders / getRichList,/v1/accounts/top,Top XLM holders / rich list,stellar.ts
StellarChain.io,Accounts,fetchLabeledAccounts,/v1/accounts?labels[]=undefined,Known/verified accounts,stellar.ts
StellarChain.io,Accounts,fetchAllLabeledAccounts,/v1/accounts (all pages),All labeled accounts with pagination,stellar.ts
StellarChain.io,Accounts,getAccountLabels,Batch account endpoints,Batch label lookup for multiple accounts,stellar.ts
StellarChain.io,Contracts,fetchContracts,/v1/contracts/env/public,Soroban contracts list,stellar.ts
StellarChain.io,Direct Fetch,KnownAccountsClient.tsx,/v1/accounts?labels[]=undefined,Known accounts page,component
StellarChain.io,Direct Fetch,KnownAccountsDesktopView.tsx,/v1/accounts?labels[]=undefined,Desktop known accounts view,component
StellarChain.io,Direct Fetch,ContractsClient.tsx,/v1/contracts/env/public,Contracts page,component
StellarChain.io,Direct Fetch,ContractsDesktopView.tsx,/v1/contracts/env/public,Desktop contracts view,component
Stellar Dashboard,Supply Data,fetchSupplyData,/api/v2/lumens,Total XLM supply and circulating data,stellar.ts
Exchange Rate API,Currency,AccountMobileView.tsx,/v4/latest/USD,USD exchange rates for currency conversion,component
GitHub API,Verification,contractVerification.ts,/repos/{owner}/{repo}/attestations/sha256:{hash},Verify contract WASM against GitHub attestations,lib
Internal API,Transaction Meta,/api/transaction-meta (route.ts),/api/transaction-meta?hash={hash},Transaction result metadata and XDR data,api-route
